Strain	NucAvgCov	BdVir_Coverge	VirRatio
ADMALA	145.579	0	0
Bd_JEL253	142.3	0	0
CCB15	158.035	46.01	0.291138039
CCB1	133.951	62.89	0.469500041
CLFT001	130.742	0	0
CLFT061	109.375	34.61	0.316434286
CLFT065	255.652	0	0
CLFT067	188.518	37.58	0.19934436
CLFT071	153.461	0	0
CLFT136	144.909	54.39	0.375339006
CORN1B	167.925	0	0
CORN1	230.065	0	0
HR1	139.55	15.31	0.109709781
HR5	207.759	22.84	0.109935069
JEL240	116.297	0	0
JEL261	402.058	0	0
JEL270	334	0.1	0.000299401
JEL274	239.766	0.04	0.000166829
JEL410	206.363	0	0
JEL412	282.961	0	0
JEL413	181.496	0	0
JEL423	339.154	0.02	5.90E-05
JEL423PA	80.9917	0.03	0.000370408
JEL427.P17	238.587	0	0
JEL427.P39	69.0247	0	0
JEL427.P9	141.817	0	0
KB108	298.582	0.05	0.000167458
KB23	232.573	0	0
KB347	180.218	380.41	2.110832436
KB45	135.672	0	0
KB72	148.628	0.04	0.000269128
KBO_317	419.634	746.56	1.779074146
KBO_319	278.018	519.5	1.868584049
KBO_327	331.821	826.76	2.491584318
KRBOOR_317	237.432	510.89	2.151731864
KRBOOR_323	292.353	295.88	1.012064183
KRBOOR_331	326.489	70.26	0.215198674
MC58	133.158	66.7	0.500908695
RioMaria	243.745	0	0
SA3e	165.476	18.86	0.113974232
SA-EC5	89.5664	4.76	0.053
SA5c	145.588	17.3	0.118828475
CLFT044	130.314	115.23	0.884248814
Sample_55890	102.925	0.04	0.000388632
Sample_55900	199.609	0	0
Sample_55901	255.485	0	0
Sample_55902	188.533	37.58	0.1993285
Sample_55903	130.437	0	0
Sample_55904	141.061	0	0
Sample_55905	153.406	0	0
Sample_55908	162.651	0	0
Sample_55911	99.207	0.08	0.000806395
Sample_55915	134.677	0	0
Sample_55929	127.844	0.07	0.000547542
Sample_55930	116.042	0	0
Sample_55933	144.838	54.39	0.375522998
Sample_55935	162.296	68.81	0.42397841
Sample_55937	131.47	75.06	0.570928729
Sample_55945	136.276	118.88	0.872347295
TF5a1_ES	317.572	47.91	0.150863426
UKBEL	139.396	0	0
UKBER	163.844	0	0
JEL433	0	0	0
Campana	0	0	0
UM142	135.1192754	65.56	0.485200944
CLFT139	146.6976812	89.41	0.609484753
CLFT039	55.73347826	40.18	0.72093114
MAD_FR	214.1268116	3.57	0.016672363
SA4c_ZA	270.5436232	51.93	0.191946864
DB8-4	105.076087	29.25	0.278369711
DB8.2	109.3189855	31.42	0.287415766
SA-KN1	90.78695652	37.79	0.416249222
SA-KN3	100.1702899	30.35	0.302984049
SA1d_ZA	200.244058	252.04	1.258664065
MG1_ZA	193.4408696	61.46	0.317719829
RC5.1_FR	236.0694203	78.01	0.330453643
SA_EC5	81.68898551	6.6	0.080794246
CLFT148	113.3278261	85.24	0.752154197
CLFT070	0	0	0
CLFT068	0	0	0
CLFT144	0	0	0
